Crop,Quantity_Kg,Price_INR
Potato,30,900
Apple,25,6250
Grapes,22,4400
Soybean,30,600
Rice,35,2450
Banana,15,1200
Barley,22,638
Corn,45,1350
Pineapple,35,3500
Strawberry,28,1440
Wheat,25,625
Orange,30,2100
Cotton,18,540
Mango,30,2400
Potato,38,1140
Apple,40,10000
Grapes,25,5000
Barley,18,522
Strawberry,15,900
Corn,30,900
Soybean,35,700
Pineapple,25,2500
Banana,22,1760
Rice,40,2000
Orange,37,2590
Wheat,30,750
Grapes,22,4400
Barley,30,870
Potato,40,1200
Cotton,15,400
Banana,22,1760
Wheat,35,875
Apple,30,7500
Grapes,25,5000
Soybean,40,800
Rice,45,2250
Strawberry,35,1890
Corn,20,600
Potato,30,900
Orange,35,2450
Banana,15,1200
Barley,20,580
Mango,37,2960
Apple,25,6250
Grapes,18,3600
Strawberry,22,1080
Wheat,40,1000
Cotton,10,350
Soybean,30,600
Rice,15,750
Pineapple,25,2500
Orange,32,2240
Corn,30,900
Potato,40,1200
Strawberry,28,1440
Banana,15,1200
Barley,25,725
Apple,40,10000
Grapes,27,5400
Orange,30,2100
Wheat,45,1125
Corn,35,1050
Soybean,35,700
Pineapple,35,3500
Banana,18,1440
Strawberry,22,1080
Potato,45,1350
Cotton,10,350
Rice,50,2500
Apple,35,8750
Grapes,22,4400
Soybean,30,600
Mango,25,2000
Orange,37,2590
Pineapple,32,3200
Corn,45,1350
Barley,20,580
Wheat,25,625
Banana,22,1760
Apple,35,8750
Grapes,22,4400
Soybean,30,600
Orange,30,2100
Corn,20,600
Potato,30,900
Strawberry,35,1890
Mango,37,2960
Cotton,15,400
Barley,22,638
Apple,25,6250
Pineapple,35,3500
Orange,40,2800
Rice,35,2450
Grapes,25,5000
Banana,15,1200
Strawberry,15,900
Wheat,30,750
Corn,35,1050
Barley,25,725
Orange,35,2450
Strawberry,22,1080
Mango,37,2960
Cotton,15,400
Potato,30,900
Apple,25,6250
Grapes,22,4400
Soybean,30,600
Rice,35,2450
Banana,15,1200
Barley,22,638
Corn,45,1350
Pineapple,35,3500
Strawberry,28,1440
Wheat,25,625
Orange,30,2100
Cotton,18,540
Mango,30,2400
Potato,38,1140
Strawberry,22,1080
Potato,45,1350
Apple,30,7500
Cotton,10,350
Banana,22,1760
Wheat,35,875
Orange,30,2100
Mango,30,2400
Barley,25,725
Soybean,35,700
Rice,35,2450
Strawberry,15,900
Potato,30,900
Corn,45,1350
Grapes,22,4400
Apple,25,6250
Orange,35,2450
Banana,15,1200
Soybean,30,600
Rice,50,2500
Pineapple,35,3500
Barley,20,580
Strawberry,28,1440
Cotton,15,400
Mango,30,2400
Orange,37,2590
Corn,20,600
Potato,30,900
Strawberry,35,1890
Banana,18,1440
Wheat,25,625
Barley,22,638
Grapes,25,5000
Soybean,30,600
Rice,15,750
Pineapple,25,2500
Apple,25,6250
Grapes,22,4400
Orange,30,2100
Corn,45,1350
Strawberry,35,1890
Banana,15,1200
Barley,25,725
Apple,40,10000
Pineapple,32,3200
Soybean,25,500
Rice,35,2450
Orange,37,2590
Wheat,30,750
Grapes,18,3600
Potato,45,1350
Cotton,10,350
Strawberry,22,1080
Barley,30,870
Pineapple,20,2000
Apple,35,8750
Rice,35,2450
Grapes,25,5000
Orange,35,2450
Banana,10,800
Soybean,25,500
Mango,25,2000
Corn,30,900
Potato,38,1140
Strawberry,30,1620
Barley,22,638
Orange,35,2450
Wheat,40,1000
Cotton,18,540
Pineapple,35,3500
Mango,37,2960
Banana,22,1760
Rice,40,2000
Grapes,22,4400
Strawberry,22,1080
Apple,40,10000
Orange,30,2100
Potato,42,1260
Corn,35,1050
Soybean,40,800
Wheat,35,875
Pineapple,28,2800
Cotton,15,400
Barley,18,522
Mango,25,2000
Banana,18,1440
Strawberry,20,1200
Grapes,30,6000
Apple,35,8750
Orange,32,2240
Potato,35,1050
Corn,35,1050
Rice,45,2250
Wheat,25,625
Soybean,30,600
Pineapple,20,2000
Banana,15,1200
Barley,30,870
Strawberry,35,1890
Orange,35,2450
Mango,30,2400
Cotton,8,240
Potato,38,1140
Corn,20,600
Grapes,30,6000
Apple,40,10000
Strawberry,22,1080
Rice,40,2000
Wheat,35,875
Soybean,40,800
Barley,25,725
Orange,32,2240
Banana,15,1200
Corn,45,1350
Pineapple,35,3500
Strawberry,20,1200
Apple,35,8750
Grapes,22,4400
Potato,30,900
Cotton,10,350
Mango,37,2960
Soybean,30,600
Rice,35,2450
Orange,30,2100
Banana,22,1760
Barley,20,580
Pineapple,35,3500
Corn,30,900
Strawberry,35,1890
Grapes,27,5400
Apple,30,7500
Wheat,45,1125
Soybean,35,700
Potato,38,1140
Cotton,15,400
Banana,22,1760
Strawberry,28,1440
Rice,50,2500
Apple,35,8750
Pineapple,32,3200
Orange,30,2100
Barley,30,870
Potato,40,1200
Cotton,15,400
Banana,22,1760
Wheat,25,625
Pineapple,25,2500
Strawberry,28,1440
Rice,40,2000
Soybean,25,500
Mango,25,2000
Orange,35,2450
Cotton,18,540
Barley,22,638
Potato,35,1050
Apple,30,7500
Grapes,25,5000
Strawberry,22,1080
Corn,30,900
Banana,10,800
Pineapple,35,3500
Orange,37,2590
Barley,20,580
Soybean,35,700
Rice,15,750
Wheat,30,750
Mango,37,2960
Cotton,15,400
Potato,38,1140
Apple,40,10000
Strawberry,22,1080
Banana,77,3043
Soybean,60,7566
Mango,88,6081
Corn,97,9711
Potato,58,8454
Strawberry,67,3072
Barley,23,8696
Orange,41,3746
Wheat,41,3253
Cotton,50,9400
Pineapple,63,5847
Mango,58,7278
Banana,28,3643
Rice,56,6766
Grapes,56,8592
Strawberry,69,8497
Apple,28,2676
Orange,41,4869
Potato,87,8523
Corn,22,8210
Soybean,39,4282
Wheat,29,3368
Pineapple,65,6934
Cotton,43,4291
Barley,62,5114
Mango,78,6378
Banana,81,9911
Strawberry,91,3735
Grapes,25,3965
Apple,39,3106
Orange,41,7473
Potato,31,7486
Corn,75,2646
Rice,27,8866
Wheat,83,8571
Soybean,76,6798
Pineapple,58,6292
Banana,94,7541
Barley,31,9536
Strawberry,35,3352
Orange,31,2970
Mango,18,4873
Cotton,73,8884
Potato,96,4105
Corn,40,2810
Grapes,57,3603
Apple,100,2695
Strawberry,43,4534
Rice,15,5321
Wheat,93,3363
Soybean,36,8079
Barley,39,7769
Orange,17,4396
Banana,15,3357
Corn,15,4657
Pineapple,21,4956
Strawberry,99,9057
Apple,17,3471
Grapes,59,5405
Potato,95,2750
Cotton,43,2606
Mango,87,9981
Soybean,40,6510
Rice,33,5836
Orange,40,8077
Banana,95,9950
Barley,83,8163
Pineapple,74,4171
Corn,85,4408
Strawberry,18,6424
Grapes,29,9855
Apple,86,8329
Wheat,43,7192
Soybean,100,9220
Potato,63,3070
Cotton,32,9539
Banana,100,4092
Strawberry,35,9892
Rice,35,2851
Apple,29,6403
Pineapple,26,3727
Orange,89,4438
Barley,78,6093
Potato,44,3791
Cotton,59,6236
Banana,76,6075
Wheat,65,4345
Pineapple,52,5975
Strawberry,48,6635
Rice,40,9005
Soybean,84,8983
Mango,38,6697
Orange,79,8828
Cotton,48,2757
Barley,89,7375
Potato,88,4928
Apple,15,9362
Grapes,61,6954
Strawberry,75,6791
Corn,29,9983
Banana,68,6959
Pineapple,96,8043
Orange,53,6095
Barley,24,5892
Soybean,29,4871
Rice,52,5433
Wheat,43,5449
Mango,41,8345
Cotton,58,3046
Potato,24,6084
Apple,46,5007
Strawberry,84,4504
Wheat,75,4349
Banana,100,9716
Apple,53,3481
Grapes,21,6437
Soybean,16,5837
Orange,85,3611
Corn,92,4080
Potato,90,9130
Strawberry,56,4568
Mango,29,9643
Cotton,41,4595
Barley,46,3558
Apple,79,7857
Pineapple,34,7331
Orange,28,3294
Rice,100,4808
Grapes,68,4099
Banana,36,4080
Strawberry,93,5083
Wheat,44,2950
Corn,93,6015
Barley,53,3537
Orange,36,7548
Strawberry,51,3564
Mango,68,5838
Cotton,38,5217
Potato,100,6062
Apple,98,8575
Grapes,60,7327
Soybean,66,2899
Rice,97,3970
Banana,48,8124
Barley,46,7356
Corn,43,5877
Pineapple,94,8256
Strawberry,68,6067
Wheat,91,7068
Orange,67,2636
Cotton,40,5617
Mango,20,8495
Potato,63,8684
Strawberry,57,3200
Potato,80,2682
Apple,80,9462
Cotton,47,3817
Banana,26,8427
Wheat,35,9449
Orange,59,2678
Mango,78,8041
Barley,76,3942
Soybean,38,4424
Rice,87,3009
Strawberry,16,5760
Potato,97,7006
Corn,41,7392
Grapes,29,4130
Apple,62,5055
Orange,49,6057
Banana,46,2924
Soybean,76,7383
Rice,80,6937
Pineapple,59,7853
Barley,23,3912
Strawberry,40,4338
Cotton,42,3424
Mango,84,4802
Orange,86,3117
Corn,75,4012
Potato,17,3859
Strawberry,25,8512
Banana,15,8959
Wheat,93,8030
Barley,51,9669
Grapes,36,9145
Soybean,20,8494
Rice,27,6110
Pineapple,48,5836
Apple,76,9184
Grapes,73,2777
Orange,24,4375
Corn,40,9997
Strawberry,67,9989
Banana,30,8508
Barley,50,7963
Apple,98,4781
Pineapple,36,7971
Soybean,53,9507
Rice,66,8783
Orange,35,5185
Wheat,87,2696
Grapes,35,9832
Potato,20,9001
Cotton,86,7963
Strawberry,18,4821
Barley,74,8459
Pineapple,30,3020
Apple,50,2900
Rice,89,9572
Grapes,98,7785
Orange,39,6993
Banana,22,6188
Soybean,64,7395
Pineapple,20,7012
Banana,39,9164
Strawberry,93,5221
Orange,35,8519
Mango,32,9701
Barley,20,9733
Cotton,43,3856
Potato,42,9877
Apple,51,8112
Grapes,29,3257
Strawberry,49,6209
Banana,20,7276
Soybean,53,4523
Rice,60,7587
Pineapple,62,3169
Wheat,74,5833
Corn,16,9384
Barley,69,6965
Orange,19,5377
Strawberry,28,3823
Mango,79,2512
Cotton,38,8702
Potato,83,3042
Apple,62,3526
Grapes,92,6454
Soybean,40,9215
Rice,76,8267
Banana,16,9942
Barley,30,9767
Corn,27,8522
Pineapple,72,4454
Strawberry,19,2738
Wheat,66,4635
Orange,77,9441
Cotton,85,5678
Mango,80,6273
Potato,38,7315
Apple,25,7064
Grapes,33,3117
Barley,44,2825
Strawberry,17,2800
Corn,90,6385
Soybean,75,7947
Pineapple,49,5663
Banana,50,8719
Rice,92,8176
Orange,64,7734
Wheat,98,6347
Grapes,75,7587
Barley,70,4492
Potato,96,8115
Cotton,53,3540
Banana,59,6203
Wheat,50,7814
Apple,82,6301
Grapes,96,8155
Soybean,21,2669
Rice,40,8869
Strawberry,53,5380
Corn,53,9469
Potato,59,9782
Orange,67,5534
Banana,70,6615
Barley,94,7486
Mango,27,7985
Apple,86,6293
Grapes,40,8537
Strawberry,15,8666
Wheat,77,5529
Cotton,79,7541
Soybean,56,9939
Rice,90,5228
Pineapple,42,3443
Orange,70,3059
Wheat,94,6273
Wheat,81,6341
Wheat,21,8231
Wheat,25,5661
Wheat,37,6556
Wheat,79,8319
Corn,44,4262
Corn,32,7884
Corn,53,4227
Corn,83,5978
Corn,49,3054
Corn,62,5122
Rice,66,4759
Rice,89,5906
Rice,71,8014
Rice,47,3235
Rice,96,6747
Rice,63,6450
Soybean,45,3722
Soybean,94,7908
Soybean,74,4237
Soybean,78,7842
Soybean,21,4244
Soybean,73,3507
Cotton,100,6864
Cotton,38,8460
Cotton,79,6280
Cotton,22,7155
Cotton,47,8659
Cotton,36,8502
Barley,90,4511
Barley,89,5449
Barley,60,6652
Barley,63,7451
Barley,21,5188
Barley,37,4046
Potato,90,3113
Potato,75,7948
Potato,97,5627
Potato,26,4906
Potato,86,6093
Potato,57,5662
Apple,63,3586
Apple,46,6363
Apple,60,5847
Apple,100,4799
Orange,86,3738
Orange,27,3217
Orange,97,4549
Orange,88,4633
Orange,20,8378
Orange,74,7270
Grapes,48,3206
Grapes,32,7457
Grapes,80,6576
Grapes,40,4030
Grapes,62,7100
Grapes,69,6321
Strawberry,91,5939
Strawberry,60,6630
Strawberry,44,6994
Strawberry,86,7300
Strawberry,61,6956
Strawberry,27,8115
Banana,93,6888
Banana,81,7556
Banana,49,6784
Banana,41,3220
Mango,97,5556
Mango,20,4619
Mango,37,7371
Mango,55,7553
Pineapple,66,8390
Pineapple,20,3272
Rice,41,5745
Apple,43,8883
Corn,26,4194
Potato,100,7863
Grapes,63,5041
Strawberry,86,8949
Potato,98,3156
Barley,24,5298
Orange,80,5085
Banana,45,8196
Rice,32,3299
Soybean,46,7767
Strawberry,92,6684
Cotton,47,3236
Strawberry,64,6005
Strawberry,23,4536
Mango,76,3466
Rice,90,4361
Corn,20,7720
Grapes,48,3753
Apple,78,8952
Potato,70,5643
Strawberry,58,7656
Grapes,99,7676
Grapes,89,3559
Potato,50,8887
Soybean,39,8106
Wheat,22,8409
Wheat,81,6137
Wheat,36,8740
Wheat,68,3761
Wheat,27,3004
Wheat,86,6334
Corn,63,4015
Corn,81,5300
Corn,63,7159
Corn,45,4892
Corn,59,3340
Corn,53,5853
Rice,70,8134
Rice,68,6778
Rice,25,5097
Rice,23,3348
Rice,27,4081
Rice,48,6517
Soybean,72,5643
Soybean,72,4044
Soybean,24,8454
Soybean,75,7833
Soybean,62,8550
Soybean,42,8082
Cotton,77,7065
Cotton,24,7197
Cotton,72,7506
Cotton,51,6884
Cotton,20,5650
Cotton,23,4494
Barley,68,7197
Barley,80,4239
Barley,46,5640
Barley,59,8376
Barley,60,7886
Barley,45,4318
Potato,79,4791
Potato,37,4484
Potato,46,8747
Potato,22,5266
Potato,49,5811
Potato,84,7013
Apple,62,3707
Apple,50,7193
Apple,25,7452
Apple,78,3601
Orange,48,6921
Orange,82,2787
Orange,69,7504
Orange,44,6217
Orange,78,7331
Orange,40,5011
Grapes,76,3955
Grapes,50,7432
Grapes,32,8002
Grapes,47,6144
Grapes,72,2539
Grapes,63,2579
Strawberry,27,2532
Strawberry,37,8375
Strawberry,22,7676
Strawberry,34,3381
Strawberry,44,3684
Strawberry,27,7470
Banana,44,3461
Banana,85,7155
Banana,86,7356
Banana,78,6378
Mango,25,7640
Mango,52,6314
Mango,31,7261
Mango,86,3705
Pineapple,30,6898
Pineapple,69,5029
Rice,71,4095
Apple,30,6477
Corn,54,4541
Potato,25,4908
Grapes,46,3932
Strawberry,75,6996
Potato,56,4657
Barley,23,3327
Orange,32,4950
Banana,49,4155
Rice,21,6181
Soybean,26,2857
Strawberry,73,3827
Cotton,54,6898
Strawberry,84,4734
Strawberry,36,4543
Mango,59,5584
Rice,53,8598
Corn,83,4610
Grapes,54,5662
Apple,81,6834
Potato,76,4131
Strawberry,83,8292
Grapes,42,8143
Grapes,60,3109
Potato,40,4871
Soybean,21,5336
Apple,65,5286
Grapes,67,3476
Soybean,36,2928
Barley,52,5369
Wheat,35,2713
Strawberry,24,2964
Orange,68,5882
Grapes,38,4961
Banana,76,8975
Orange,29,6417
Corn,38,5525
Pineapple,74,7284
Wheat,64,7649
Potato,80,4297
Rice,81,8173
Orange,37,4544
Potato,68,5230
Mango,77,8302
Corn,55,2775
Orange,79,5580
Wheat,31,8072
Wheat,37,7064
Cotton,63,3706
Apple,31,4775
Mango,75,4819
Barley,67,5337
Cotton,85,8768
Pineapple,47,5016
Wheat,73,6262
Banana,69,8554
Banana,62,5232
Rice,62,4397
Pineapple,28,3986
Cotton,66,4610
Apple,39,8298
Strawberry,78,3149
Corn,78,2784
Barley,71,4370
Cotton,38,6040
Grapes,68,2579
Corn,55,5111
Barley,90,3010
Mango,77,6734
Potato,35,2860
Orange,61,7364
Orange,45,2591
Pineapple,86,7617
Corn,56,6769
Rice,35,7956
Potato,32,3305
Potato,28,4330
Cotton,80,2534
Potato,57,7106
Soybean,73,3652
Pineapple,45,2945
Rice,76,3233
Grapes,82,5183
Strawberry,59,5108
Cotton,47,3028
Wheat,55,4296
Soybean,72,5748
Strawberry,27,8906
Banana,26,5404
Barley,20,2897
Rice,31,5612
Orange,85,6346
Strawberry,52,2565
Corn,51,5353
Cotton,60,7170
Pineapple,40,2940
Wheat,71,5684
Soybean,64,3891
Mango,85,8612
Potato,90,7169
Grapes,77,8470
Banana,31,8057
Strawberry,22,3522
Apple,57,7923
Orange,72,8538
Cotton,42,5726
Pineapple,22,7017
Mango,90,4336
Barley,40,3368
Soybean,20,4099
Rice,76,8633
Potato,80,6043
Orange,72,3606
Banana,20,7270
Strawberry,60,4172
Grapes,75,8298
Wheat,51,3567
Cotton,51,6415
Pineapple,51,7464
Mango,76,8230
Apple,29,4036
Corn,36,3748
Soybean,50,8677
Barley,44,4228
Orange,76,4513
Strawberry,75,4310
Banana,75,7829
Grapes,36,3578
Potato,60,5325
Cotton,56,8414
Rice,78,8487
Apple,74,5674
Wheat,69,4573
Mango,32,5508
Pineapple,30,8472
Corn,26,8197
Soybean,82,5956
Strawberry,87,8116
Grapes,89,3438
Orange,80,4654
Barley,72,4856
Potato,82,7405
Cotton,55,5798
Banana,57,6640
Wheat,27,8663
Pineapple,27,7117
Strawberry,83,2653
Rice,29,2949
Soybean,65,8232
Mango,58,4154
Orange,66,7864
Cotton,84,4085
Barley,84,8415
Potato,63,4823
Apple,59,6598
Grapes,27,3140
Strawberry,33,3331
Corn,84,6413
Banana,21,7031
Pineapple,80,3549
Orange,81,6592
Barley,37,4585
Soybean,87,6342
Rice,79,6687
Wheat,55,8969
Mango,90,5787
Cotton,52,5784
Potato,27,7072
Apple,87,7359
Strawberry,50,3131
Orange,61,8410
Grapes,57,4560
Soybean,81,5639
Banana,75,2938
Corn,71,2705
Rice,21,3252
Barley,81,5604
Pineapple,20,2625
Strawberry,68,2778
Mango,22,7569
Barley,41,2778
Pineapple,78,5526
Strawberry,57,7411
Rice,75,7667
Banana,25,3457
Apple,44,2930
Grapes,80,5881
Orange,38,5353
Cotton,21,6192
Mango,54,6562
Soybean,76,3057
Corn,46,5722
Potato,72,7291
Barley,35,4861
Orange,30,5894
Wheat,48,3665
Strawberry,89,3965
Apple,46,4643
Pineapple,52,6702
Mango,28,2545
Cotton,71,4170
Banana,55,7155
Barley,34,5080
Grapes,82,7246
Strawberry,34,5534
Rice,28,8440
Corn,22,3577
Potato,27,5794
Orange,76,6081
Banana,33,4294
Soybean,80,4762
Apple,87,3760
Pineapple,63,5665
Strawberry,86,5962
Cotton,67,5245
Mango,69,8056
Barley,36,3032
Orange,81,7178
Potato,46,8324
Rice,84,4648
Apple,36,3707
Grapes,36,8641
Corn,61,2620
Soybean,68,2606
Pineapple,84,8030
Banana,88,5851
Strawberry,67,3538
Orange,85,7944
Mango,44,7776
Barley,87,3088
Cotton,22,8827
Potato,54,6620
Apple,65,2840
Grapes,87,5743
Strawberry,34,6519
Banana,76,8170
Soybean,46,7590
Rice,32,7232
Pineapple,41,6810
Wheat,36,4004
Corn,25,5157
Barley,39,5168
Orange,83,5472
Strawberry,75,6184
Mango,24,7789
Cotton,89,2855
Potato,28,4610
Apple,55,4078
Grapes,79,6818
Soybean,34,4533
Rice,36,6675
Banana,33,7819
Barley,65,5567
Corn,72,6542
Pineapple,52,5937
Strawberry,36,2927
Wheat,69,6965
Orange,77,7804
Cotton,62,3506
Mango,36,5717
Potato,87,7076
Apple,23,5804
Grapes,57,4830
Barley,72,8113
Strawberry,63,3064
Corn,44,8144
Soybean,61,7551
Pineapple,74,4537
Banana,75,8525
Rice,27,6668
Orange,63,6240
Wheat,86,3481
Grapes,83,4730
Barley,20,8675
Potato,80,5357
Cotton,58,7160
Banana,57,5691
Wheat,81,8351
Apple,46,6675
Grapes,22,8276
Soybean,90,6526
Rice,34,4610
Strawberry,72,6573
Corn,39,2852
Potato,56,3452
Orange,84,3827
Banana,31,3940
Barley,22,2979
Mango,78,4484
Apple,30,4560
Grapes,79,5791
Strawberry,29,4468
Wheat,39,4384
Cotton,90,2551
Soybean,46,8236
Rice,47,5153
Pineapple,33,4296
Orange,85,7587
Corn,60,4590
Potato,53,2983
Strawberry,52,4342
Banana,66,6063
Barley,48,7536
Apple,66,4736
Grapes,62,6667
Orange,28,4399
Wheat,81,7266
Corn,44,5877
Soybean,88,8425
Pineapple,25,5333
Banana,22,2821
Strawberry,41,4156
Potato,68,7008
Cotton,56,4996
Rice,20,6014
Apple,57,6331
Grapes,75,5533
Soybean,61,7466
Mango,36,5373
Orange,44,7304
Pineapple,24,4438
Corn,28,8398
Barley,46,4091
Wheat,21,5519
Banana,30,8031
Apple,58,7160
Grapes,53,5746
Soybean,59,7612
Orange,23,3904
Corn,30,5235
Potato,46,4797
Strawberry,75,8233
Mango,37,3654
Cotton,28,5952
Barley,55,5026
Apple,31,4572
Pineapple,70,2718
Orange,77,4091
Rice,39,8743
Grapes,73,8320
Banana,65,3095
Strawberry,45,6596
Wheat,88,3656
Corn,58,6677
Barley,27,3928
Orange,51,3727
Strawberry,88,8997
Mango,74,5408
Cotton,42,4359
Potato,60,8027
Apple,78,5825
Grapes,22,7398
Soybean,47,7403
Rice,71,5686
Banana,76,4330
Barley,36,5508
Corn,71,8608
Pineapple,90,4239
Strawberry,29,3226
Wheat,88,4935
Orange,70,5864
Cotton,34,7960
Mango,86,6686
Potato,58,3583
Strawberry,67,6930
Potato,52,8134
Apple,74,8496
Cotton,51,7331
Banana,27,2662
Wheat,70,6194
Orange,51,4240
Mango,45,3776
Barley,51,4012
Soybean,26,6250
Rice,61,5278
Strawberry,27,8768
Potato,23,3621
Corn,76,5829
Grapes,82,6144
Apple,35,4117
Orange,56,2672
Banana,39,3656
Soybean,53,4522
Rice,61,2674
Pineapple,58,6532
Barley,23,7904
Strawberry,72,5116
Cotton,29,8486
Mango,63,7461
Orange,67,3264
Corn,32,5898
Potato,33,5084
Strawberry,22,8428
Banana,44,5767
Wheat,69,5812
Barley,46,5351
Grapes,65,4593
Soybean,84,3911
Rice,76,7314
Pineapple,42,8300
Apple,41,8424
Grapes,53,5781
Orange,37,2659
Corn,87,3417
